worker_ID,avg_words,,,
23804661,3.3125,,,
16654434,2.6875,,,
9653950,7.5,,,
30779198,4.1875,,,
32306192,1.5714285714285714,,,
20043586,1.25,,,
26602053,5.5,,,
29155723,6.5625,,,
4711962,1.0357142857142858,,,
28103910,1.0625,,,
25257275,0.875,,,
21490235,1.25,,,
28884030,0,,,
4688131,1.4375,,,
33565158,3.125,,,
28524232,1.9375,,,
33721948,2,,,
30901412,2.3125,,,
31184650,1.125,,,
33189780,2.25,,,
20113482,3.8125,,,
22166359,1.75,,,
33900189,2.5,,,
33903622,5.0625,,,
22222103,2.125,,,
21665495,0.875,,,
32799278,0.9166666666666666,,,
32352104,1,,,
20312760,0.6875,,,
29216552,2.25,,,
31304413,2,,,
32338429,1.625,,,
17950689,2.185185185185185,,,
16682358,3.3125,,,
22141613,0.03571428571428571,,,
22535866,1.0625,,,
6344072,2.6666666666666665,,,
33500282,3.875,,,
14571439,1.375,,,
19294877,6.75,,,
13581319,2.4375,,,
3587109,2,,,
16101132,0,,,
32053642,4.25,,,
29849805,3.9285714285714284,,,
33793607,5.5,,,
33386576,1.4285714285714286,,,
